sample,strain,group
ML-CD-WT-1,C57BL/6J,ML-CD-WT
ML-CD-WT-2,C57BL/6J,ML-CD-WT
ML-CD-WT-3,C57BL/6J,ML-CD-WT
ML-CD-WT-4,C57BL/6NJ,ML-CD-WT
ML-CD-WT-5,C57BL/6NJ,ML-CD-WT
ML-WD-WT-1,C57BL/6J,ML-WD-WT
ML-WD-WT-2,C57BL/6J,ML-WD-WT
ML-WD-WT-3,C57BL/6J,ML-WD-WT
ML-WD-WT-4,C57BL/6NJ,ML-WD-WT
ML-WD-WT-5,C57BL/6NJ,ML-WD-WT
ML-WD-WT-6,C57BL/6J,ML-WD-WT
ML-WD-WT-7,C57BL/6J,ML-WD-WT
ML-WD-WT-8,C57BL/6J,ML-WD-WT
ML-WD-WT-9,C57BL/6NJ,ML-WD-WT
ML-WD-WT-T-1,C57BL/6J,ML-WD-WT-T
ML-WD-WT-T-2,C57BL/6J,ML-WD-WT-T
ML-WD-WT-T-3,C57BL/6J,ML-WD-WT-T
ML-WD-WT-T-4,C57BL/6NJ,ML-WD-WT-T
